question_id,topic_id,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
11,3,You are establishing an IPv6 VPC peering connection between VPC A and VPC B. The name of your VPC Peering connection is pcx-12345678. The IPv6 address range of VPC A is 2001:db8:7589:aa00::/56. The IPv6 address range of VPC B is 2001:db8:4321:bb00::/56. Which of the following entries should be made to VPC A’s route table?,Destination: 2001:db8:4321:bb00::/56 Target: 2001:db8:7589:aa00::/56,Destination: 2001:db8:4321:bb00::/56 Target: pcx-12345678,Destination: 2001:db8:7589:aa00::/128 Target: pcx-12345678,"The configuration as described is an invalid VPC Peering connection, IPv6 is not supported with VPC Peering",2,"VPC Peering does support IPv6. In this example, VPC A’s route table will require an entry that routes traffic destined for VPC B’s IPv6 address range (2001:db8:4321:bb00::/56) to the VPC Peering connection (pcx-12345678). A /128 CIDR range specifies a single IPv6 address."
12,3,"You have Linux EC2 instances deployed in 2 VPCs.
 VPC A has an IP address range of 10.20.30.0/24. VPC B has an IP address range of 10.20.31.0/24. The DNS servers supplied by the DHCP options for both subnets reside in VPC A. VPC B cannot ping the hostnames of instances in VPC A. Instances in VPC A can ping the hostnames of other instances in VPC A. VPC B can ping the IPv4 addresses of the DNS servers. Other than the DNS servers, all the instances have dynamically assigned IPv4 addresses.
Which of the following is most likely the cause?",IGMP is disabled on the instances in VPC A,UDP port 53 outbound is blocked on VPC B,ICMP is disabled on the instances running in VPC A,UDP port 67 outbound is blocked on VPC B,2,"Based on the symptoms, it seems that instances in VPC B cannot resolve the hostnames of the instances in VPC A. This would most likely be caused by access to a DNS server being blocked. DNS queries occur on UDP (or in certain circumstances TCP) port 53. UDP Port 67 is used by DHCP servers. Since ping is working under certain circumstances, ICMP is not disabled. IGMP is not used for ping."
13,3,Return traffic to all EC2 instances in a VPC's new public subnet is somehow blocked. You would like to ensure that return traffic from all potential clients is received moving forward. Which port range should you allow to ensure that return traffic from all potential clients is received?,1024-65535,1-1024,1024-50000,1-65535,1,"Return traffic is received on ephemeral ports. The ephemeral ports used may vary from client to client, the entirety of the ephemeral port range is 1024-65535. Allowing ports outside of that range would be unnecessary. Blocking ports within that range would potentially block return traffic from some clients. In practice, to cover the different types of clients that might initiate traffic to public-facing instances in your VPC, you can open ephemeral ports 1024-65535. However, you can also add rules to the ACL to deny traffic on any malicious ports within that range. Ensure that you place the deny rules earlier in the table than the allow rules that open the wide range of ephemeral ports."
14,3,"You have just provisioned an Application Load Balancer to distribute traffic to your website among a cluster of EC2 instances in the same subnet of a VPC. When you attempt to browse to your site, you are receiving HTTP 504: Gateway Timeout errors. Which of the following is a likely cause of the errors?",Your browser is closing the connection with the load balancer before the idle timeout period passes ,The NACL for the subnet where the EC2 instances are deployed does not allow outbound traffic for TCP ports 1024-65535,Your browser is sending a malformed HTTP request,The security group attached to the EC2 instances behind the load balancer does not allow outbound traffic on TCP ports 1-1023,2,"If the targets for an Application Load Balancer cannot allow traffic from the targets to the load balancer nodes on ephemeral ports (1024-65535), it is likely that an HTTP 504: Gateway Timeout will be returned when users make HTTP requests. It would be unnecessary to allow outbound traffic from the EC2 instances on ports 1-1023 in this scenario. If the issue was related to the client, a 4XX error would be expected."
15,3,"Your company has multiple EC2 instances and S3 buckets across multiple AWS regions that are used to serve a web application that is in the proof of concept stages. Users from all over the world will be accessing the application. You are a member of the security team and you have been tasked with ensuring that the infrastructure is resilient against SYN floods. Your first task is to list Amazon Web Services and features you can use, either individually or collectively, to mitigate your risk to SYN floods. 
Which of the following will help mitigate SYN flood attacks? (Choose 3 answers)",Amazon CloudFront,AWS WAF,NACL,Amazon Elastic Load Balancing,"1, 2, 4","A SYN flood works by sending many SYN messages to a TCP port that is open for a legitimate purpose. Creating a NACL to block traffic would not be an ideal strategy, as it would prevent legitimate users from accessing the application. An ELB would only accept well-formed TCP connections, which helps mitigate the impact of SYN floods. You can use a WAF in conjunction with CloudFront to detect and filter malicious activity like SYN floods."
16,3,"A customer is using a NAT Gateway to allow a cluster of EC2 instances on a private subnet in their VPC to access an S3 bucket in the same region. After a recent uptick in usage, the customer noticed that data transfer charges rose beyond what they expected. The customer has requested that you find a solution that minimizes data transfer costs without exposing the EC2 instances to the Internet directly. Which option best meets the requirements?",Use a NAT Instance instead of the NAT Gateway and update the routing table for the private subnet to route traffic to the S3 bucket to the NAT Instance,Use CloudFront to cache frequently accessed data,Create a VPC Endpoint for the S3 bucket and update the routing table for the private subnet to route traffic to the S3 bucket to the VPC Endpoint,Create a DX connection between the S3 bucket and the private subnet,3,"A VPC endpoint enables you to establish a private connection between a VPC and other AWS resources. Transfers between S3 and AWS resources in the same region are free. Therefore, in this scenario using a VPC Endpoint would save on data transfer costs when compared to a NAT Gateway. A NAT instance would have similar transfer costs to a NAT Gateway. Caching data using CloudFront would not reduce the transfer costs as dramatically as using a VPC Endpoint, and depending on the type of data being transfer may have no or limited impact on costs. A Direct Connect (DX) connection would not be useful in connecting a private VPC subnet to an S3 bucket."
17,3,A client would like to deploy a cluster of EC2 instances for a machine learning project. The instances will be constantly communicating with one another over the network. There is an emphasis on maximizing throughput and minimizing latency in the application. High availability is not a requirement. Which solution best meets the requirements.,"Create a cluster placement group, and deploy extra-large accelerated computing instances with Enhanced Networking enabled and private IPv4 addresses into the placement group.",Deploy an evenly distributed number of extra-large accelerated computing instances with Enhanced Networking enabled and public VIFs between two availability zones.,Create a spread placement group and deploy extra-large T3 burstable instances and private IPv4 addresses in the placement group.,Deploy an evenly distributed number of extra-large T3 burstable instances and private IPv4 addresses evenly across two availability zones.,1,"Cluster placement groups are logical groupings of instances in the same AZ. AWS recommends placement groups for applications that can benefit from low latency and/or high network throughput be deployed in a cluster placement group. Deploying instances into two separate Availability Zones would place them on separate hardware, decreasing performance relative to instances in a cluster placement group.Performance in Placement Groups is optimized when instances communicate using private IP addresses. P2 instances are optimized for accelerated computing and would be preferred over the T3 instances (which do not support Enhanced Networking) for this application."
18,3,"You have a Direct Connect Endpoint connecting an EC2 instance in the US West region to your on-premises network in California via an AWS partner in the region. Currently, the Direct Connect Endpoint has 9 virtual interfaces. You would like to add 3 more virtual interfaces configured similarly to the first 9 which were provisioned using the AWS Direct Connect console. Which of the steps below should you take first?",Contact AWS to request an increase on the limit for virtual interfaces on your Direct Connect Endpoint,Login to the AWS Direct Connect Console and begin provisioning the additional virtual interfaces,"You cannot configure more than 10 virtual interfaces on a Direct Connect Endpoint, so a new Direct Connect Endpoint will need to be provisioned",Enable Auto Negotiation on your on-premises router,2,A Direct Connect Endpoint can have up to 50 virtual interfaces. This limit cannot be exceeded. Virtual interfaces for a Direct Connect Endpoint can be provisioned using the Direct Connect Console. A prerequisite for a Direct Connect connection is disabling Auto Negotiation on the customer end.
19,3,"You have configured a CloudFront distribution with the URL images.yoursite.com to distribute .jpeg files from an S3 bucket named yourbucket.s3.amazonaws.com. The S3 bucket is not publicly accessible. You have configured origin access control (OAC) to grant CloudFront access to all objects in the bucket.However, you receive several errors denying access when visiting images.yoursite.com on your browser.To troubleshoot the issue, you use Dig and receive the following output:> dig images.yoursite.com; <<> DiG 9.3.3rc2 <<> images.yoursite.com;; global options:	printcmd;; Got answer:;; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15917;; flags: qr rd ra; QUERY: 1, ANSWER: 9, AUTHORITY: 2, ADDITIONAL: 0;; QUESTION SECTION:;images.yoursite.com. IN A;; ANSWER SECTION:images.yoursite.com. 10800 IN	CNAME	yourbucket.s3.amazonaws.com.Which steps would most likely resolve the access denied errors in the most secure fashion? Select two choices.",Create a bucket policy to allow public access to the entire S3 bucket,Update the CNAME record,Update the A record,Create a bucket policy to allow public access only to the specific objects to be displayed at images.yoursite.com,"2, 4","When using CloudFront to distribute content from an S3 bucket, the CNAME record should point to the CloudFront distribution’s domain name, not your S3 bucket. In this scenario, modifying the bucket policy would be unnecessary since there is already origin access control to grant CloudFront access to all objects in the bucket. Updating the A record (which maps IPv4 addresses to domain names) would not be helpful in this scenario. "
20,3,"Your customer has a web application and database running in a VPC. They would like to add IPv6 support both for the web application and database. The VPC is split into two subnets. Subnet 2 has an IP address range of 10.100.101.0/24 and hosts the DB instance with a Private IPv4 address of 10.100.101.5. Subnet 2 will require only outbound IPv6 access. Currently, Subnet 2 has outbound IPv4 access through a NAT Gateway. Which of the following solutions should you implement for Subnet 2?","Enable IPv6 on the NAT Gateway, add a static route to point all IPv6 traffic on Subnet 2 to the NAT Gateway, add rules to the security group for the DB instance that block all inbound IPv6 traffic",Add a static route pointing all IPv6 traffic on Subnet 2 to the NAT Gateway,Add an Internet Gateway (IGW) to Subnet 2 and add a static route to point all IPv6 traffic on Subnet 2 to the IGW,Add an Egress-Only Internet Gateway (EIGW) to your VPC and add a static route to point all IPv6 traffic on Subnet 2 to the EIGW,4,An EIGW is designed to only allow outbound IPv6 traffic. NAT Gateways do not support IPv6. An IGW could be leveraged to work but would require additional unnecessary configuration when compared to an EIGW.
21,3,"Your customer has a number of EC2 instances deployed in an auto scaling group. The auto scaling policies scale up and down based on CPU utilization. The demand on the instances is highly variable, so auto scaling has proven to be quite useful in the application. After the latest spike in traffic, an EC2 instance that served as the master node for a Hadoop cluster was terminated when CPU utilization went back down. The customer needs to prevent this from occurring again. Which solution should you recommend?",Increase the cooldown period for the auto scaling group,Enable scale in protection on the EC2 instance in question,Disable auto scaling and “right size” the EC2 instances to handle the highest traffic levels expected,Increase the Desired Capacity for the auto scaling group,2,"Enabling scale in protection on the instance would stop it from being terminated when auto scaling policies scale down. Disabling auto scaling would be overkill and is not desirable given that it serves a logical purpose in this scenario. Increasing the cooldown period or Desired Capacity may prevent the instance from being terminated depending on other variables, but it is not a surefire way to prevent termination long term."
22,3,"Assuming default settings are still in place on the account, what would the IP address of the Amazon Provided DNS server be on a newly created VPC with a network range of 172.20.0.0/16?",172.20.255.254,172.20.0.100,172.20.0.2,172.20.100.100,3,"Assuming default settings are still in place on the account, what would the IP address of the Amazon Provided DNS server be on a newly created VPC with a network range of 172.20.0.0/16?"
23,3,You have configured a Direct Connect (DX) connection for a customer and now need to provision the virtual interfaces to begin using the connection. The customer has 12 S3 buckets and 2 VPCs with 12 EC2 instances on each VPC. All AWS resources are in the same region. Which option below best describes the minimum number of virtual interfaces that will need to be created for all AWS resources to have access to the DX connection?,"3, one public virtual interface for the S3 endpoints and 2 private virtual interfaces for the VPCs","36, one private virtual interface for each S3 endpoint and EC2 instance","1, one public virtual interface for all the resources in the same region","25, one public virtual interface for the S3 endpoints and one private virtual interface for each EC2 instance",1,A public virtual interface is required to connect AWS public endpoints (like S3 for example) to a DX connection. One public virtual interface can be used for all public IP addresses in a region. A private virtual interface is required for each VPC to connect to a DX connection. EC2 instances within a VPc would not need to have a dedicated virtual interface allocated to them.
24,3,"Your customer will be storing critical data in S3 buckets. In addition to a highly restrictive bucket policy, they would like to encrypt the data prior to loading it to the buckets. The customer prefers not to store its master encryption keys within AWS.Which of the following options would it be best to leverage to encrypt the data given the requirements?",CSE-C,CSE-KMS,SSE-S3,SSE-KMS,1,"Given the requirement to encrypt the data prior to loading it to the S3 buckets, server-side solutions like SSE-S3, SSE-KMS, and DSSE-KMS would not meet the requirements. While a KMS-Managed KMS key would allow for client-side encryption, it would not keep the master key out of AWS. Using a Client-Side Encryption Customer Managed key (CSE-C) would allow for client-side encryption and keep the master key out of AWS."
25,3,You are tasked with configuring Route 53 for use with EC2 instances across multiple regions that are used for a customer’s website. The customer would like to route traffic based upon the location of the website’s visitors so visitors from specific regions can be presented with specific content. Which of the following would be best suited to meet the requirement?,"A geolocation routing policy
",A region based routing policy,EDNS0,DynDNS ,1,"A Geolocation routing policy would allow Route 53 to route queries based upon the location of users. DynDNS is  used to automatically update DNS records.  EDNS0 can be used to improve the accuracy of geolocation routing, but is not a routing policy in and of itself. Region based is not a valid Route 53 routing policy type. "
26,3,You use CloudFormation to manage your application stacks and create templates. You have configured a template for an Application Load Balancer that will be useful in a number of stacks. What method should you use to deploy the Application Load Balancer template to multiple stacks?,Copy/paste the template on an as-needed basis,Turn the template into a nested stack,Store the template on a Git server and use CodePipeline to deploy it to other stacks,Store the template on a Git server and create custom scripts to install it as needed,2,"Nested stacks allow you to reference a template from within another template and help simplify the update process as any time the nested stack template is updated, any stack that uses it will receive the updates (once the stack is updated). Copy/pasting the template on an as-needed basis adds an element of human error to the process and is difficult to track. Adding a Git server to the scenario adds unneeded layers of complexity. "
27,3,"Your customer is using basic monitoring with CloudWatch. They have configured an auto scaling policy to deploy new instances when CPU utilization reaches 80%. They have found that, on many occasions a second instance is deployed when one instance would have been sufficient. It appears that the second instance is being deployed before the CloudWatch metrics update. The customer would like to prevent the second instance from deploying unless necessary, but also wants to avoid additional charges to their AWS bill. Which of the following solutions should you recommend?",Enable detailed monitoring of the instances in CloudWatch,Increase the auto scaling cooldown time to 600 seconds,Use OpsWorks for Chef Automate,Configure CloudWatch alerts for CPU utilization and manually deploy the instances,2,"CloudWatch basic monitoring makes data available automatically every 5 minutes at no charge. The default auto scaling cooldown time is 300 seconds (5 minutes). It is likely that in the situations where the second instance was deployed, the monitoring data was not yet up to date. Extending the cooldown time to make the auto scaling action wait 10 minutes would likely mitigate this discrepancy. Enabling detailed monitoring would also likely resolve the issue, but it would led to an incur charges that the customer wants to avoid. Manually deploying the instances is not sustainable. OpsWorks for Chef Automate is overkill given the requirements and would incur charges that the customer wants to avoid."
28,3,You are the network engineer responsible for a VPN connection between a VPC’s virtual private gateway (VGW) and your on-premises VPN device (customer gateway). You are attempting to establish the IPsec tunnel between the two devices. Your customer gateway is on the AWS list of “Customer Gateway Devices We've Tested”. NAT-T is not being used. You have configured both the VGW and customer gateway and are now attempting to establish the IPsec tunnel between them. Phase 1 (IKE exchange) is successful. Phase 2 (IPsec phase) fails. You have tried multiple times with the same results. You have ruled out incompatible IKE versions or encryption methods as the cause. Which option below should you check first?,Verify you can ping the customer gateway,Verify UDP port 500 is not blocked,Verify UDP port 4500 is not blocked,Verify protocol 50 is not blocked,4,"Protocol 50 being blocked is the only option listed that would impact phase 2 but not phase 1. If UDP port 500 was blocked, phase 1 would have failed. UDP port 4500 would only be required if NAT-T was used. Ping would be used to verify network connectivity to the customer gateway which is confirmed by the fact phase 1 was successful."
29,3,A customer you configured a Direct Connect (DX) connection for would like to send traffic from a VPC in the US-East-1 region over their corporate network backbone for auditing and on to a VPC in US-West-1 region. Via BGP the US-East-1 region virtual private gateway (VGW) is advertising an AS number of AS 7224. The corporate Cisco router is advertising an AS number of AS 64511. The VGW in US-West-1 is advertising an AS number of AS 7224. The VGW at US-West-1 is rejecting the traffic originating from US-East-1. Which option below would best resolve the issue?,Use VPC Peering to connect the two VPCs,Create a software VPN connection between the two VPCs,Use AS-Override on the corporate router,Create an EIC Endpoint on the corporate network and configure security groups to allow inbound connections from US-East-1 and outbound connections to US-West-1,3,"In a BGP environment, if a router sees the same AS number it has in an AS_PATH, it will reject the traffic as the same AS number suggests a loop. In this scenario, enabling AS-Override on the corporate router would advertise AS 64511 AS 64511 to the VGW at US-West-1 instead of AS 64511 AS 7224, allowing the traffic to be accepted. VPC Peering or a software VPN connection would not meet the requirement for routing the traffic through the corporate router. An EIC Endpoint would not be a practical solution for this use case. "
30,3,"Your account has 3 VPCs deployed in the same region.
The IPv4 address ranges of the VPCs are:
VPC A 172.22.0.0/16
VPC B 10.3.0.0/16
VPC C 10.4.0.0/16
VPC B and VPC C are already connected through VPC peering connection (PCX) named pcx-abcxyz. VPC A has resources that VPC B and VPC C must access. Which of the options below best achieves the objective of allowing VPC B and VPC C to access VPC A?",Connect VPC A to pcx-abcxyz,Add static routes to VPC A with Targets of 10.3.0.0/16 and 10.4.0.0/16 and a Destination of pcx-abcxyz,Connect VPC A to VPC B using VPC Peering and allow VPC C to access VPC A through VPC B.,Create separate VPC Peering connections between VPC A & VPC B and VPC A & VPC C,4,"Creating separate VPC Peering connections between each VPC is required for Peering 3 VPCs together. Transitive routing is not supported in VPC Peering so VPC C could not reach VPC A through VPC B. A new VPC Peering connection is required for connecting additional VPCs, so connecting VPC A to pcx-abcxyz is not a viable option. Adding a static route to VPC A that points to pcx-abcxyz would not work as pcx-abcxyz is not connected to VPC A."
31,3,You are assisting a customer with the configuration of a customer gateway to be used to establish a VPN connection to a Virtual Private Gateway for access to a VPC. The customer gateway has a public static IPv4 address that is behind a NAT and the device is advertising NAT-T. Firewall rules allowing traffic over what port will be required for NAT-T to function properly?,UDP port 4500,UDP port 50,TCP port 500,TCP port 50,1,"In order for NAT Traversal (NAT-T) to function properly, firewall rules must allow UDP access over port 4500."
32,3,"You are migrating your production web application from your current Classic Load Balancer to an Application Load Balancer. Your current DNS service does not support weighting. You have already created the Application Load Balancer, configured it with settings that match your Classic Load Balancer configuration using the AWS Management console, and verified that the DNS name of the Application Load Balancer displays the default page of your server when pasted into a web browser. At this point, which of the following steps should you perform first?",Create a DNS record that associates your Application Load Balancer with your domain name,Update all CloudFormation templates to reference the Application Load Balancer instead of the Classic Load Balancer,Delete the Classic Load Balancer,Delete the DNS record that associates your Classic Load Balancer with your domain name ,1,"When migrating from a Classic Load Balancer to an Application Load Balancer, after creating the Application Load Balancer and confirming that it is functioning as expected by verifying that its DNS name resolves to the default page of your server, according to AWS documentation, the next step is to create a DNS record that associates your Application Load Balancer with your domain name and monitoring performance. "
33,3,"A customer currently has 3 VPCs in production using the same AWS account: VPC A, VPC B, and VPC C.The IPv4 address ranges for the VPCs are:VPC A 10.10.10.0/16VPC B 172.16.0.0/16VPC C 192.168.0.0/16VPCs B and C have both already been configured with a VPC peering connection that allows for connectivity to VPC A. There is now a need for network connectivity between multiple AWS resources on VPC B and VPC C. There is a requirement not to route the traffic over the Internet. Which of the following solutions will best meet the requirements?",Create a VPN connection between VPC B and VPC C,Create a VPC peering connection between VPC B and VPC C,Use a PrivateLink VPC Endpoint to connect VPC B to VPC C,Configure no additional connections and use transitive routing through VPC A to allow connectivity between the resources on VPC B and VPC C,2,"To configure full mesh connectivity between 3 VPCs using VPC peering, each VPC will require a VPC peering connection with the other two VPCs. Transitive routing is not supported with VPC peering. By definition, a VPN connection would route traffic over the Internet. EIC Endpoints are ideal for establish SSH connections from IP addresses on the public internet."
